,cases,fip-year-month,fip-year,fips
0,43,1001-2020-3,1001-2020,01001
1,731,1001-2020-4,1001-2020,01001
2,3660,1001-2020-5,1001-2020,01001
3,11110,1001-2020-6,1001-2020,01001
4,24241,1001-2020-7,1001-2020,01001
5,38807,1001-2020-8,1001-2020,01001
6,48577,1001-2020-9,1001-2020,01001
7,60844,1001-2020-10,1001-2020,01001
8,73997,1001-2020-11,1001-2020,01001
9,108652,1001-2020-12,1001-2020,01001
10,95,1003-2020-3,1003-2020,01003
11,2877,1003-2020-4,1003-2020,01003
12,7493,1003-2020-5,1003-2020,01003
13,12318,1003-2020-6,1003-2020,01003
14,54475,1003-2020-7,1003-2020,01003
15,120283,1003-2020-8,1003-2020,01003
16,150651,1003-2020-9,1003-2020,01003
17,197611,1003-2020-10,1003-2020,01003
18,233249,1003-2020-11,1003-2020,01003
19,348455,1003-2020-12,1003-2020,01003
20,506,1005-2020-4,1005-2020,01005
21,2651,1005-2020-5,1005-2020,01005
22,7330,1005-2020-6,1005-2020,01005
23,14161,1005-2020-7,1005-2020,01005
24,20859,1005-2020-8,1005-2020,01005
25,24539,1005-2020-9,1005-2020,01005
26,30228,1005-2020-10,1005-2020,01005
27,33813,1005-2020-11,1005-2020,01005
28,40753,1005-2020-12,1005-2020,01005
29,5,1007-2020-3,1007-2020,01007
30,657,1007-2020-4,1007-2020,01007
31,1629,1007-2020-5,1007-2020,01007
32,3433,1007-2020-6,1007-2020,01007
33,7961,1007-2020-7,1007-2020,01007
34,14745,1007-2020-8,1007-2020,01007
35,18402,1007-2020-9,1007-2020,01007
36,23833,1007-2020-10,1007-2020,01007
37,30545,1007-2020-11,1007-2020,01007
38,47009,1007-2020-12,1007-2020,01007
39,29,1009-2020-3,1009-2020,01009
40,590,1009-2020-4,1009-2020,01009
41,1463,1009-2020-5,1009-2020,01009
42,3652,1009-2020-6,1009-2020,01009
43,13625,1009-2020-7,1009-2020,01009
44,31781,1009-2020-8,1009-2020,01009
45,44569,1009-2020-9,1009-2020,01009
46,56017,1009-2020-10,1009-2020,01009
47,76472,1009-2020-11,1009-2020,01009
48,121270,1009-2020-12,1009-2020,01009
49,16,1011-2020-3,1011-2020,01011
50,220,1011-2020-4,1011-2020,01011
51,2192,1011-2020-5,1011-2020,01011
52,8735,1011-2020-6,1011-2020,01011
53,12233,1011-2020-7,1011-2020,01011
54,15597,1011-2020-8,1011-2020,01011
55,17483,1011-2020-9,1011-2020,01011
56,19575,1011-2020-10,1011-2020,01011
57,20298,1011-2020-11,1011-2020,01011
58,23348,1011-2020-12,1011-2020,01011
59,7,1013-2020-3,1013-2020,01013
60,440,1013-2020-4,1013-2020,01013
61,7962,1013-2020-5,1013-2020,01013
62,15721,1013-2020-6,1013-2020,01013
63,20957,1013-2020-7,1013-2020,01013
64,24956,1013-2020-8,1013-2020,01013
65,27004,1013-2020-9,1013-2020,01013
66,30243,1013-2020-10,1013-2020,01013
67,32801,1013-2020-11,1013-2020,01013
68,41741,1013-2020-12,1013-2020,01013
69,40,1015-2020-3,1015-2020,01015
70,1874,1015-2020-4,1015-2020,01015
71,4036,1015-2020-5,1015-2020,01015
72,6206,1015-2020-6,1015-2020,01015
73,22671,1015-2020-7,1015-2020,01015
74,63808,1015-2020-8,1015-2020,01015
75,94482,1015-2020-9,1015-2020,01015
76,127090,1015-2020-10,1015-2020,01015
77,168264,1015-2020-11,1015-2020,01015
78,252416,1015-2020-12,1015-2020,01015
79,166,1017-2020-3,1017-2020,01017
80,6111,1017-2020-4,1017-2020,01017
81,10059,1017-2020-5,1017-2020,01017
82,14139,1017-2020-6,1017-2020,01017
83,22690,1017-2020-7,1017-2020,01017
84,29072,1017-2020-8,1017-2020,01017
85,33221,1017-2020-9,1017-2020,01017
86,39681,1017-2020-10,1017-2020,01017
87,47667,1017-2020-11,1017-2020,01017
88,64015,1017-2020-12,1017-2020,01017
89,10,1019-2020-3,1019-2020,01019
90,294,1019-2020-4,1019-2020,01019
91,817,1019-2020-5,1019-2020,01019
92,1583,1019-2020-6,1019-2020,01019
93,4817,1019-2020-7,1019-2020,01019
94,10331,1019-2020-8,1019-2020,01019
95,15668,1019-2020-9,1019-2020,01019
96,21661,1019-2020-10,1019-2020,01019
97,27431,1019-2020-11,1019-2020,01019
98,38180,1019-2020-12,1019-2020,01019
