,fips,RUCC_2013
0,1001,2.0
1,1003,3.0
2,1005,6.0
3,1007,1.0
4,1009,1.0
5,1011,6.0
6,1013,6.0
7,1015,3.0
8,1017,6.0
9,1019,6.0
10,1021,1.0
11,1023,9.0
12,1025,7.0
13,1027,9.0
14,1029,8.0
15,1031,4.0
16,1033,3.0
17,1035,7.0
18,1037,8.0
19,1039,6.0
20,1041,8.0
21,1043,4.0
22,1045,4.0
23,1047,4.0
24,1049,6.0
25,1051,2.0
26,1053,6.0
27,1055,3.0
28,1057,6.0
29,1059,6.0
30,1061,3.0
31,1063,8.0
32,1065,3.0
33,1067,3.0
34,1069,3.0
35,1071,6.0
36,1073,1.0
37,1075,8.0
38,1077,3.0
39,1079,3.0
40,1081,3.0
41,1083,2.0
42,1085,2.0
43,1087,6.0
44,1089,2.0
45,1091,7.0
46,1093,7.0
47,1095,4.0
48,1097,2.0
49,1099,7.0
50,1101,2.0
51,1103,3.0
52,1105,8.0
53,1107,3.0
54,1109,6.0
55,1111,6.0
56,1113,2.0
57,1115,1.0
58,1117,1.0
59,1119,8.0
60,1121,4.0
61,1123,6.0
62,1125,3.0
63,1127,1.0
64,1129,8.0
65,1131,9.0
66,1133,6.0
67,2013,9.0
68,2016,9.0
69,2020,2.0
70,2050,7.0
71,2060,9.0
72,2068,8.0
73,2070,9.0
74,2090,3.0
75,2100,9.0
76,2105,9.0
77,2110,5.0
78,2122,7.0
79,2130,7.0
80,2150,7.0
81,2164,9.0
82,2170,2.0
83,2180,7.0
84,2185,7.0
85,2188,7.0
86,2195,9.0
87,2198,9.0
88,2220,7.0
89,2230,9.0
90,2240,9.0
91,2261,9.0
92,2270,9.0
93,2275,9.0
94,2282,9.0
95,2290,9.0
96,4001,6.0
97,4003,3.0
98,4005,3.0
99,4007,4.0
100,4009,7.0
101,4011,7.0
102,4012,6.0
103,4013,1.0
104,4015,3.0
105,4017,4.0
106,4019,2.0
107,4021,1.0
108,4023,4.0
109,4025,3.0
110,4027,3.0
111,5001,6.0
112,5003,7.0
113,5005,7.0
114,5007,2.0
115,5009,7.0
116,5011,7.0
