,cost-house,fip-year-month,fip-year
0,635279,6037-2019-1,6037-2019
1,633105,6037-2019-2,6037-2019
2,631271,6037-2019-3,6037-2019
3,630818,6037-2019-4,6037-2019
4,631688,6037-2019-5,6037-2019
5,633482,6037-2019-6,6037-2019
6,631409,6037-2019-7,6037-2019
7,631367,6037-2019-8,6037-2019
8,632638,6037-2019-9,6037-2019
9,637348,6037-2019-10,6037-2019
10,640082,6037-2019-11,6037-2019
11,643287,6037-2019-12,6037-2019
12,646414,6037-2020-1,6037-2020
13,652995,6037-2020-2,6037-2020
14,659827,6037-2020-3,6037-2020
15,665371,6037-2020-4,6037-2020
16,663189,6037-2020-5,6037-2020
17,660450,6037-2020-6,6037-2020
18,663031,6037-2020-7,6037-2020
19,672122,6037-2020-8,6037-2020
20,683282,6037-2020-9,6037-2020
21,693285,6037-2020-10,6037-2020
22,701027,6037-2020-11,6037-2020
23,706470,6037-2020-12,6037-2020
24,710277,6037-2021-1,6037-2021
25,717292,6037-2021-2,6037-2021
26,724304,6037-2021-3,6037-2021
27,734737,6037-2021-4,6037-2021
28,748675,6037-2021-5,6037-2021
29,766484,6037-2021-6,6037-2021
30,786445,6037-2021-7,6037-2021
31,798469,6037-2021-8,6037-2021
32,807117,6037-2021-9,6037-2021
33,809652,6037-2021-10,6037-2021
34,814209,6037-2021-11,6037-2021
35,819573,6037-2021-12,6037-2021
36,252286,17031-2019-1,17031-2019
37,252901,17031-2019-2,17031-2019
38,253201,17031-2019-3,17031-2019
39,253595,17031-2019-4,17031-2019
40,253269,17031-2019-5,17031-2019
41,252812,17031-2019-6,17031-2019
42,252588,17031-2019-7,17031-2019
43,252224,17031-2019-8,17031-2019
44,252010,17031-2019-9,17031-2019
45,251497,17031-2019-10,17031-2019
46,251268,17031-2019-11,17031-2019
47,251157,17031-2019-12,17031-2019
48,251586,17031-2020-1,17031-2020
49,252148,17031-2020-2,17031-2020
50,252418,17031-2020-3,17031-2020
51,252189,17031-2020-4,17031-2020
52,251875,17031-2020-5,17031-2020
53,251903,17031-2020-6,17031-2020
54,253337,17031-2020-7,17031-2020
55,255197,17031-2020-8,17031-2020
56,258935,17031-2020-9,17031-2020
57,262272,17031-2020-10,17031-2020
58,265071,17031-2020-11,17031-2020
59,266731,17031-2020-12,17031-2020
60,267364,17031-2021-1,17031-2021
61,269636,17031-2021-2,17031-2021
62,271379,17031-2021-3,17031-2021
63,274385,17031-2021-4,17031-2021
64,276166,17031-2021-5,17031-2021
65,279190,17031-2021-6,17031-2021
66,282732,17031-2021-7,17031-2021
67,286479,17031-2021-8,17031-2021
68,289068,17031-2021-9,17031-2021
69,291559,17031-2021-10,17031-2021
70,294460,17031-2021-11,17031-2021
71,297191,17031-2021-12,17031-2021
72,199943,48201-2019-1,48201-2019
73,200780,48201-2019-2,48201-2019
74,201171,48201-2019-3,48201-2019
75,201156,48201-2019-4,48201-2019
76,201247,48201-2019-5,48201-2019
77,201750,48201-2019-6,48201-2019
78,202237,48201-2019-7,48201-2019
79,202754,48201-2019-8,48201-2019
80,202949,48201-2019-9,48201-2019
81,203791,48201-2019-10,48201-2019
82,204479,48201-2019-11,48201-2019
83,205122,48201-2019-12,48201-2019
84,204815,48201-2020-1,48201-2020
85,204986,48201-2020-2,48201-2020
86,205936,48201-2020-3,48201-2020
87,207353,48201-2020-4,48201-2020
88,208233,48201-2020-5,48201-2020
89,208595,48201-2020-6,48201-2020
90,209054,48201-2020-7,48201-2020
91,210023,48201-2020-8,48201-2020
92,212226,48201-2020-9,48201-2020
93,214571,48201-2020-10,48201-2020
94,217130,48201-2020-11,48201-2020
95,219272,48201-2020-12,48201-2020
96,221362,48201-2021-1,48201-2021
97,223926,48201-2021-2,48201-2021
98,225167,48201-2021-3,48201-2021
99,226995,48201-2021-4,48201-2021
100,229258,48201-2021-5,48201-2021
101,234176,48201-2021-6,48201-2021
102,239565,48201-2021-7,48201-2021
103,245372,48201-2021-8,48201-2021
104,249810,48201-2021-9,48201-2021
105,253619,48201-2021-10,48201-2021
106,256223,48201-2021-11,48201-2021
107,259306,48201-2021-12,48201-2021
108,271181,4013-2019-1,4013-2019
109,272433,4013-2019-2,4013-2019
110,273866,4013-2019-3,4013-2019
111,274712,4013-2019-4,4013-2019
112,275457,4013-2019-5,4013-2019
113,276179,4013-2019-6,4013-2019
114,277350,4013-2019-7,4013-2019
115,279277,4013-2019-8,4013-2019
116,280968,4013-2019-9,4013-2019
117,282651,4013-2019-10,4013-2019
118,284304,4013-2019-11,4013-2019
119,286401,4013-2019-12,4013-2019
120,288509,4013-2020-1,4013-2020
121,290603,4013-2020-2,4013-2020
122,293668,4013-2020-3,4013-2020
123,297951,4013-2020-4,4013-2020
124,300779,4013-2020-5,4013-2020
125,302492,4013-2020-6,4013-2020
126,304383,4013-2020-7,4013-2020
127,308815,4013-2020-8,4013-2020
128,314143,4013-2020-9,4013-2020
129,319502,4013-2020-10,4013-2020
130,324838,4013-2020-11,4013-2020
131,331099,4013-2020-12,4013-2020
132,338520,4013-2021-1,4013-2021
133,344920,4013-2021-2,4013-2021
134,353650,4013-2021-3,4013-2021
135,360262,4013-2021-4,4013-2021
136,372458,4013-2021-5,4013-2021
137,383871,4013-2021-6,4013-2021
138,397135,4013-2021-7,4013-2021
139,407112,4013-2021-8,4013-2021
140,415319,4013-2021-9,4013-2021
141,422809,4013-2021-10,4013-2021
142,428902,4013-2021-11,4013-2021
143,434638,4013-2021-12,4013-2021
144,578759,6073-2019-1,6073-2019
145,576445,6073-2019-2,6073-2019
146,576089,6073-2019-3,6073-2019
147,579081,6073-2019-4,6073-2019
148,580687,6073-2019-5,6073-2019
149,582534,6073-2019-6,6073-2019
150,584773,6073-2019-7,6073-2019
151,586733,6073-2019-8,6073-2019
152,587296,6073-2019-9,6073-2019
153,587847,6073-2019-10,6073-2019
154,589840,6073-2019-11,6073-2019
155,592322,6073-2019-12,6073-2019
156,595231,6073-2020-1,6073-2020
157,598425,6073-2020-2,6073-2020
158,603992,6073-2020-3,6073-2020
159,607873,6073-2020-4,6073-2020
160,610751,6073-2020-5,6073-2020
161,610988,6073-2020-6,6073-2020
162,614516,6073-2020-7,6073-2020
163,621101,6073-2020-8,6073-2020
