,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
0,29819,1001-2019,1001,55769,0.94378028,27078,28691,39.2,3251,6499,21487,14933,8783,2,42490,11252,266,668,58,1035,54116,1653
1,29804,1001-2020,1001,58877,0.953256146,28734,30143,39.2,3480,7042,22589,15672,9273,2,44580,12136,281,690,66,1124,57009,1868
2,30968,1001-2021,1001,59095,0.946347408,28733,30362,39.3,3388,7062,22714,15600,9484,2,44442,12425,271,711,70,1176,57129,1966
3,32626,1003-2019,1003,223565,0.941190772,108396,115169,43.6,12068,24301,76205,61216,46874,3,195303,19625,1724,2436,155,4322,213197,10368
4,33751,1003-2020,1003,233140,0.950505321,113612,119528,43.8,12176,25601,79039,64092,49125,3,203791,20211,1844,2561,160,4573,222174,10966
5,35384,1003-2021,1003,239294,0.947506348,116422,122872,44,12252,25902,81341,65215,51376,3,209243,20499,1915,2686,164,4787,227708,11586
6,18473,1005-2019,1005,24657,1.120667412,13030,11627,41,1311,2588,9252,6318,4893,6,12061,11937,168,115,52,324,23561,1096
7,20074,1005-2020,1005,25180,1.132633184,13373,11807,40.8,1342,2675,9516,6367,4960,6,12332,12137,180,116,56,359,23976,1204
8,21325,1005-2021,1005,24964,1.141178489,13305,11659,41.2,1307,2574,9472,6283,4987,6,12292,11950,181,115,58,368,23726,1238
9,20778,1007-2019,1007,22313,1.138284619,11878,10435,40,1256,2212,8854,6043,3704,1,17086,4758,102,52,27,288,21694,619
10,22626,1007-2020,1007,22223,1.15297423,11901,10322,40.3,1219,2210,8747,6086,3691,1,17017,4711,107,56,29,303,21560,663
11,24787,1007-2021,1007,22477,1.173160592,12134,10343,40.3,1180,2223,8896,6127,3762,1,17112,4846,113,62,29,315,21783,694
12,24747,1009-2019,1009,57840,0.975005122,28554,29286,41,3466,6709,20716,15336,10824,1,55408,979,366,200,68,819,52372,5468
13,25457,1009-2020,1009,59081,0.990532664,29400,29681,41.1,3474,6910,21143,15814,10927,1,56530,1025,383,224,68,851,53394,5687
14,27309,1009-2021,1009,59041,0.99233988,29407,29634,41.2,3433,6889,21141,15685,11056,1,56388,1090,390,238,73,862,53215,5826
15,20877,1011-2019,1011,10144,1.206656515,5547,4597,39.5,566,1114,4024,2624,1700,6,2693,7136,84,24,73,134,9296,848
