,PCIncome,fip-year
6442,29819.0,1001-2019
6443,32626.0,1003-2019
6444,18473.0,1005-2019
6445,20778.0,1007-2019
6446,24747.0,1009-2019
6447,20877.0,1011-2019
6448,21038.0,1013-2019
6449,25345.0,1015-2019
6450,22729.0,1017-2019
6451,24301.0,1019-2019
6452,24658.0,1021-2019
6453,22308.0,1023-2019
6454,22225.0,1025-2019
6455,23519.0,1027-2019
6456,23142.0,1029-2019
6457,27806.0,1031-2019
6458,25536.0,1033-2019
6459,19769.0,1035-2019
6460,23694.0,1037-2019
6461,23687.0,1039-2019
6462,24563.0,1041-2019
6463,23468.0,1043-2019
6464,24645.0,1045-2019
6465,19612.0,1047-2019
6466,21907.0,1049-2019
6467,29052.0,1051-2019
6468,19028.0,1053-2019
6469,24883.0,1055-2019
6470,22483.0,1057-2019
6471,21641.0,1059-2019
6472,21711.0,1061-2019
6473,14884.0,1063-2019
6474,21191.0,1065-2019
6475,25276.0,1067-2019
6476,27097.0,1069-2019
6477,22596.0,1071-2019
6478,32098.0,1073-2019
6479,22636.0,1075-2019
6480,28033.0,1077-2019
6481,23450.0,1079-2019
6482,27860.0,1081-2019
6483,28411.0,1083-2019
6484,20209.0,1085-2019
6485,20419.0,1087-2019
6486,36620.0,1089-2019
6487,25635.0,1091-2019
6488,21311.0,1093-2019
6489,24453.0,1095-2019
6490,25861.0,1097-2019
6491,20527.0,1099-2019
6492,29071.0,1101-2019
6493,27367.0,1103-2019
6494,15055.0,1105-2019
6495,23024.0,1107-2019
6496,22453.0,1109-2019
6497,24721.0,1111-2019
6498,23470.0,1113-2019
6499,26409.0,1115-2019
6500,38549.0,1117-2019
6501,16799.0,1119-2019
6502,23305.0,1121-2019
6503,25217.0,1123-2019
6504,26789.0,1125-2019
6505,23882.0,1127-2019
6506,26752.0,1129-2019
6507,16841.0,1131-2019
6508,22952.0,1133-2019
6509,33939.0,2013-2019
6510,39647.0,2016-2019
6511,41415.0,2020-2019
6512,19885.0,2050-2019
6513,44168.0,2060-2019
6514,34365.0,2068-2019
6515,25993.0,2070-2019
6516,37025.0,2090-2019
6517,31731.0,2100-2019
6518,36091.0,2105-2019
6519,43680.0,2110-2019
6520,34226.0,2122-2019
6521,37590.0,2130-2019
6522,32876.0,2150-2019
6523,13762.0,2158-2019
6524,24836.0,2164-2019
6525,31232.0,2170-2019
6526,23581.0,2180-2019
6527,48730.0,2185-2019
6528,23780.0,2188-2019
6529,36112.0,2195-2019
6530,27080.0,2198-2019
6531,39615.0,2220-2019
6532,39453.0,2230-2019
6533,32193.0,2240-2019
6534,38907.0,2261-2019
6535,32286.0,2275-2019
6536,32198.0,2282-2019
6537,22718.0,2290-2019
6538,15128.0,4001-2019
6539,26819.0,4003-2019
6540,27339.0,4005-2019
6541,24251.0,4007-2019
6542,18683.0,4009-2019
6543,25780.0,4011-2019
6544,22879.0,4012-2019
6545,33279.0,4013-2019
6546,26166.0,4015-2019
6547,18935.0,4017-2019
6548,29707.0,4019-2019
6549,24959.0,4021-2019
6550,21480.0,4023-2019
6551,30341.0,4025-2019
6552,21758.0,4027-2019
6553,26386.0,5001-2019
6554,23391.0,5003-2019
6555,26863.0,5005-2019
6556,34442.0,5007-2019
6557,24727.0,5009-2019
6558,22945.0,5011-2019
6559,23688.0,5013-2019
6560,25295.0,5015-2019
6561,20232.0,5017-2019
6562,21337.0,5019-2019
6563,22505.0,5021-2019
6564,27227.0,5023-2019
6565,24225.0,5025-2019
6566,21189.0,5027-2019
6567,25158.0,5029-2019
6568,26948.0,5031-2019
6569,24547.0,5033-2019
6570,23172.0,5035-2019
6571,25380.0,5037-2019
6572,20517.0,5039-2019
6573,19235.0,5041-2019
6574,25543.0,5043-2019
6575,26913.0,5045-2019
6576,20480.0,5047-2019
6577,19697.0,5049-2019
6578,27171.0,5051-2019
6579,28153.0,5053-2019
6580,23494.0,5055-2019
6581,21521.0,5057-2019
6582,21866.0,5059-2019
6583,24481.0,5061-2019
6584,23733.0,5063-2019
6585,21164.0,5065-2019
6586,20295.0,5067-2019
6587,21472.0,5069-2019
6588,21010.0,5071-2019
6589,25876.0,5073-2019
6590,21473.0,5075-2019
6591,16968.0,5077-2019
6592,14764.0,5079-2019
6593,25759.0,5081-2019
6594,21491.0,5083-2019
6595,27293.0,5085-2019
6596,24356.0,5087-2019
6597,21395.0,5089-2019
6598,23729.0,5091-2019
6599,22750.0,5093-2019
6600,23538.0,5095-2019
6601,22631.0,5097-2019
6602,19912.0,5099-2019
6603,19735.0,5101-2019
6604,21562.0,5103-2019
6605,23164.0,5105-2019
6606,18651.0,5107-2019
6607,23362.0,5109-2019
6608,20963.0,5111-2019
6609,23103.0,5113-2019
6610,23391.0,5115-2019
6611,25789.0,5117-2019
6612,32692.0,5119-2019
6613,23248.0,5121-2019
6614,18447.0,5123-2019
6615,30553.0,5125-2019
6616,18281.0,5127-2019
6617,20410.0,5129-2019
6618,25961.0,5131-2019
6619,22320.0,5133-2019
6620,21423.0,5135-2019
6621,20695.0,5137-2019
6622,25193.0,5139-2019
6623,22168.0,5141-2019
6624,27790.0,5143-2019
6625,23702.0,5145-2019
6626,23423.0,5147-2019
6627,22015.0,5149-2019
6628,47314.0,6001-2019
6629,36739.0,6003-2019
6630,31987.0,6005-2019
6631,29506.0,6007-2019
6632,33456.0,6009-2019
6633,26932.0,6011-2019
6634,48178.0,6013-2019
6635,23674.0,6015-2019
6636,42749.0,6017-2019
6637,24422.0,6019-2019
6638,22668.0,6021-2019
6639,28769.0,6023-2019
6640,18018.0,6025-2019
6641,32590.0,6027-2019
6642,23326.0,6029-2019
6643,22373.0,6031-2019
