,fip-year,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
2,1001-2019,55769,0.9437802795301664,27078,28691,39.2,3251,6499,21487,14933,8783
3,1001-2020,58877,0.9532561457054706,28734,30143,39.2,3480,7042,22589,15672,9273
4,1001-2021,59095,0.9463474079441409,28733,30362,39.3,3388,7062,22714,15600,9484
7,1003-2019,223565,0.9411907718222786,108396,115169,43.6,12068,24301,76205,61216,46874
8,1003-2020,233140,0.9505053209289872,113612,119528,43.8,12176,25601,79039,64092,49125
9,1003-2021,239294,0.9475063480695358,116422,122872,44.0,12252,25902,81341,65215,51376
12,1005-2019,24657,1.1206674120581406,13030,11627,41.0,1311,2588,9252,6318,4893
13,1005-2020,25180,1.132633183704582,13373,11807,40.8,1342,2675,9516,6367,4960
14,1005-2021,24964,1.1411784887211596,13305,11659,41.2,1307,2574,9472,6283,4987
17,1007-2019,22313,1.138284619070436,11878,10435,40.0,1256,2212,8854,6043,3704
18,1007-2020,22223,1.1529742298004262,11901,10322,40.3,1219,2210,8747,6086,3691
19,1007-2021,22477,1.1731605917045345,12134,10343,40.3,1180,2223,8896,6127,3762
22,1009-2019,57840,0.9750051219012498,28554,29286,41.0,3466,6709,20716,15336,10824
23,1009-2020,59081,0.9905326639938008,29400,29681,41.1,3474,6910,21143,15814,10927
24,1009-2021,59041,0.9923398798677197,29407,29634,41.2,3433,6889,21141,15685,11056
27,1011-2019,10144,1.2066565151185555,5547,4597,39.5,566,1114,4024,2624,1700
28,1011-2020,10309,1.2251241096481762,5676,4633,39.8,577,1136,4027,2661,1772
29,1011-2021,10320,1.2420160764718662,5717,4603,39.8,579,1115,4045,2624,1816
32,1013-2019,19501,0.870599520383693,9076,10425,42.1,1095,2219,6833,5046,4061
33,1013-2020,19045,0.8837784371909001,8935,10110,42.0,1066,2202,6675,4877,3962
34,1013-2021,18884,0.873598571286834,8805,10079,42.1,1072,2169,6593,4754,4011
37,1015-2019,114070,0.9251670829676636,54818,59252,40.0,6572,12156,43672,29712,20562
38,1015-2020,116266,0.9384451224595276,56287,59979,40.1,6602,12724,44268,30185,21002
39,1015-2021,115972,0.9366431207521332,56089,59883,40.1,6580,12514,44193,29705,21411
42,1017-2019,33244,0.9178493134879429,15910,17334,43.0,1872,3524,11585,9204,6683
43,1017-2020,34678,0.9236700504798356,16651,18027,43.1,1870,3704,12085,9622,6972
44,1017-2021,34541,0.9207584941333482,16558,17983,43.3,1864,3640,12004,9597,7008
47,1019-2019,26254,0.9774045341568124,12977,13277,47.5,1226,2525,8271,7721,6216
48,1019-2020,24958,0.9956820726051496,12452,12506,47.7,1148,2380,7822,7403,5910
49,1019-2021,24996,0.9904443382704252,12438,12558,47.9,1158,2349,7828,7364,5993
52,1021-2019,44313,0.962315118235763,21731,22582,39.8,2699,5414,16353,11689,7575
53,1021-2020,45024,0.970933286639818,22180,22844,39.8,2724,5553,16528,11923,7681
54,1021-2021,45274,0.971263116645622,22307,22967,40.1,2710,5476,16623,11915,7908
57,1023-2019,12577,0.8932711124491947,5934,6643,46.7,663,1188,4030,3578,2957
58,1023-2020,12619,0.9151616330247382,6030,6589,46.5,660,1232,4023,3600,2946
59,1023-2021,12533,0.9081912302070646,5965,6568,46.8,693,1214,3945,3561,2976
62,1025-2019,23651,0.8978494623655914,11189,12462,42.9,1367,2425,8273,6437,4846
63,1025-2020,22995,0.9079820776634584,10943,12052,42.8,1291,2444,8032,6264,4664
64,1025-2021,22760,0.9071560248030835,10826,11934,42.7,1328,2403,7976,6110,4660
67,1027-2019,13265,0.9521707137601176,6470,6795,44.6,721,1401,4440,3767,2809
68,1027-2020,14193,0.9627990596044808,6962,7231,44.4,766,1478,4755,4042,2969
69,1027-2021,14190,0.9678269310775204,6979,7211,44.8,736,1480,4738,4044,3012
72,1029-2019,14952,0.9660749506903352,7347,7605,42.8,894,1700,5075,4072,3015
73,1029-2020,15035,0.9803740779768176,7443,7592,42.5,907,1757,5066,4128,2976
74,1029-2021,15103,0.9734744544623024,7450,7653,42.2,910,1757,5139,4117,2975
77,1031-2019,52639,0.9727541880598134,25956,26683,39.4,3187,6356,19766,13447,9137
78,1031-2020,53565,0.9838888888888888,26565,27000,39.4,3197,6538,20093,13802,9162
79,1031-2021,54174,0.9791758000876808,26802,27372,39.3,3266,6602,20406,13845,9272
