,fip-year,WA,BA,IA,AA,NA,TOM,NH,H
2,1001-2019,42490,11252,266,668,58,1035,54116,1653
3,1001-2020,44580,12136,281,690,66,1124,57009,1868
4,1001-2021,44442,12425,271,711,70,1176,57129,1966
7,1003-2019,195303,19625,1724,2436,155,4322,213197,10368
8,1003-2020,203791,20211,1844,2561,160,4573,222174,10966
9,1003-2021,209243,20499,1915,2686,164,4787,227708,11586
12,1005-2019,12061,11937,168,115,52,324,23561,1096
13,1005-2020,12332,12137,180,116,56,359,23976,1204
14,1005-2021,12292,11950,181,115,58,368,23726,1238
17,1007-2019,17086,4758,102,52,27,288,21694,619
18,1007-2020,17017,4711,107,56,29,303,21560,663
19,1007-2021,17112,4846,113,62,29,315,21783,694
22,1009-2019,55408,979,366,200,68,819,52372,5468
23,1009-2020,56530,1025,383,224,68,851,53394,5687
24,1009-2021,56388,1090,390,238,73,862,53215,5826
27,1011-2019,2693,7136,84,24,73,134,9296,848
28,1011-2020,2772,7206,93,29,75,134,9388,921
29,1011-2021,2797,7174,97,31,79,142,9384,936
32,1013-2019,10168,8755,75,289,8,206,19205,296
33,1013-2020,9895,8572,80,271,8,219,18722,323
34,1013-2021,9775,8512,82,269,8,238,18557,327
37,1015-2019,85299,24637,596,1018,122,2398,109571,4499
38,1015-2020,86999,25005,615,1016,135,2496,111420,4846
39,1015-2021,86590,25061,623,1016,128,2554,111057,4915
42,1017-2019,18932,13401,105,364,16,426,32365,879
43,1017-2020,19708,14016,120,393,19,422,33691,987
44,1017-2021,19615,13997,134,326,19,450,33532,1009
47,1019-2019,24441,1085,182,115,8,423,25798,456
48,1019-2020,23171,1024,194,132,8,429,24494,464
49,1019-2021,23168,1038,203,133,7,447,24514,482
52,1021-2019,38556,4608,239,207,76,627,40821,3492
53,1021-2020,39183,4668,265,215,77,616,41403,3621
54,1021-2021,39355,4668,287,224,78,662,41588,3686
57,1023-2019,7205,5235,24,24,0,89,12446,131
58,1023-2020,7237,5226,25,32,0,99,12470,149
59,1023-2021,7193,5156,29,31,0,124,12379,154
62,1025-2019,12544,10632,129,106,5,235,23333,318
63,1025-2020,12125,10382,134,99,5,250,22676,319
64,1025-2021,11945,10305,134,103,6,267,22426,334
67,1027-2019,11049,1832,72,38,0,274,12836,429
68,1027-2020,11828,1974,78,38,0,275,13752,441
69,1027-2021,11807,1986,80,38,0,279,13725,465
72,1029-2019,14214,427,79,30,11,191,14560,392
73,1029-2020,14264,436,75,28,12,220,14611,424
74,1029-2021,14309,449,68,35,12,230,14692,411
77,1031-2019,39834,9291,731,895,212,1676,48391,4248
78,1031-2020,40520,9428,762,896,228,1731,49085,4480
79,1031-2021,41091,9349,793,937,242,1762,49383,4791
82,1033-2019,44415,8944,367,377,38,1100,53537,1704
83,1033-2020,45940,9313,382,388,38,1175,55395,1841
84,1033-2021,46027,9345,389,400,43,1270,55537,1937
87,1035-2019,6242,5546,67,31,4,165,11766,289
88,1035-2020,5946,5318,69,34,4,181,11261,291
89,1035-2021,5840,5189,71,34,4,190,11016,312
92,1037-2019,7119,3301,66,18,18,155,10397,280
93,1037-2020,6947,3164,75,21,22,154,10112,271
94,1037-2021,7070,3091,78,20,22,169,10164,286
97,1039-2019,31308,4689,271,186,4,624,36392,690
98,1039-2020,31586,4780,277,192,5,629,36748,721
99,1039-2021,31576,4783,295,197,5,668,36754,770
102,1041-2019,9944,3316,90,167,6,288,13485,326
103,1041-2020,9446,3164,96,157,6,288,12837,320
104,1041-2021,9388,3119,96,162,6,312,12761,322
107,1043-2019,80208,1145,529,534,73,1155,79912,3732
108,1043-2020,84368,1232,577,577,75,1215,84005,4039
109,1043-2021,85692,1270,593,617,69,1255,85311,4185
112,1045-2019,36324,10318,431,713,89,1419,45919,3375
113,1045-2020,36223,10344,437,697,94,1419,45786,3428
114,1045-2021,35992,10648,427,714,92,1469,45746,3596
117,1047-2019,10232,26260,114,199,17,360,36774,408
118,1047-2020,10452,27040,117,200,16,365,37727,463
119,1047-2021,10186,26705,116,214,16,382,37176,443
122,1049-2019,66290,1344,1435,361,441,1635,60770,10736
123,1049-2020,66299,1348,1468,369,456,1690,60577,11053
124,1049-2021,66365,1401,1504,368,460,1715,60473,11340
127,1051-2019,61773,17191,408,635,94,1474,79047,2528
128,1051-2020,66618,18729,436,695,98,1540,85422,2694
129,1051-2021,67305,19224,445,685,100,1545,86519,2785
132,1053-2019,22756,11493,1388,117,28,787,35623,946
133,1053-2020,22763,11537,1403,110,27,825,35702,963
134,1053-2021,22755,11585,1363,117,28,851,35727,972
137,1055-2019,82579,16174,676,892,326,1813,98132,4328
138,1055-2020,83137,16405,741,893,336,1881,98871,4522
139,1055-2021,82973,16293,738,903,351,1904,98383,4779
142,1057-2019,13937,1918,81,81,1,261,15950,329
143,1057-2020,13975,1914,78,83,0,257,15969,338
144,1057-2021,13873,1838,82,85,0,270,15810,338
147,1059-2019,28951,1395,520,119,69,533,25867,5720
148,1059-2020,29358,1411,544,121,83,546,26127,5936
149,1059-2021,29213,1444,576,122,77,581,25927,6086
152,1061-2019,22895,2449,298,96,20,551,25217,1092
153,1061-2020,23172,2489,299,110,21,584,25504,1171
154,1061-2021,23165,2490,317,106,19,604,25456,1245
157,1063-2019,1472,6502,35,21,0,74,7968,136
158,1063-2020,1416,6150,37,22,0,79,7568,136
159,1063-2021,1405,6084,37,27,0,76,7482,147
162,1065-2019,5943,8534,37,46,5,104,14460,209
163,1065-2020,6002,8574,45,46,5,120,14575,217
164,1065-2021,6023,8515,49,50,6,111,14524,230
167,1067-2019,12217,4455,77,84,3,289,16661,464
168,1067-2020,12346,4381,84,84,3,269,16697,470
169,1067-2021,12596,4384,92,93,3,291,16983,476
172,1069-2019,72970,29133,578,1182,102,2275,102603,3637
173,1069-2020,73245,29717,585,1210,105,2328,103430,3760
174,1069-2021,73283,29792,610,1248,107,2418,103541,3917
177,1071-2019,47247,1771,837,302,62,1453,50088,1584
178,1071-2020,48022,1807,847,293,67,1483,50836,1683
179,1071-2021,48162,1851,848,327,73,1512,51029,1744
182,1073-2019,349169,286530,1829,11886,342,8783,632098,26441
183,1073-2020,355627,294003,1911,12301,352,9147,645464,27877
184,1073-2021,351604,292432,1923,12319,339,9203,639290,28530
187,1075-2019,12088,1436,44,15,2,232,13555,262
188,1075-2020,12209,1435,49,14,2,234,13668,275
189,1075-2021,11971,1412,58,16,2,230,13402,287
192,1077-2019,80756,9332,416,820,63,1641,90371,2657
193,1077-2020,81212,9398,426,840,71,1663,90807,2803
194,1077-2021,81554,9350,459,866,70,1744,91129,2914
197,1079-2019,25763,3554,1889,78,6,1561,32083,768
198,1079-2020,25906,3502,1946,85,7,1617,32244,819
199,1079-2021,26000,3443,1947,83,7,1610,32221,869
202,1081-2019,116629,37902,593,6948,148,2795,158857,6158
203,1081-2020,123498,40093,634,7236,162,2978,167951,6650
204,1081-2021,125172,40704,642,7389,172,3139,170244,6974
207,1083-2019,80302,13819,823,1668,186,2338,93118,6018
208,1083-2020,84378,14532,845,1872,182,2513,97819,6503
209,1083-2021,86638,15120,866,2078,183,2632,100575,6942
212,1085-2019,2512,7059,33,47,4,71,9541,185
213,1085-2020,2629,7518,34,43,4,69,10103,194
214,1085-2021,2580,7220,36,47,4,78,9772,193
217,1087-2019,3123,14532,49,106,3,252,17717,348
218,1087-2020,3474,15600,54,96,3,249,19075,401
219,1087-2021,3403,15088,57,95,3,249,18507,388
222,1089-2019,256536,92561,2935,10053,405,10057,353515,19032
223,1089-2020,268387,96679,3070,10337,422,10801,369008,20688
224,1089-2021,271884,97954,3089,10563,412,11309,373590,21621
