,fips,name,state_Ab,state,C_S
0,01001,Autauga County,AL,Alabama,"Autauga County,Alabama"
1,01003,Baldwin County,AL,Alabama,"Baldwin County,Alabama"
2,01005,Barbour County,AL,Alabama,"Barbour County,Alabama"
3,01007,Bibb County,AL,Alabama,"Bibb County,Alabama"
4,01009,Blount County,AL,Alabama,"Blount County,Alabama"
5,01011,Bullock County,AL,Alabama,"Bullock County,Alabama"
6,01013,Butler County,AL,Alabama,"Butler County,Alabama"
7,01015,Calhoun County,AL,Alabama,"Calhoun County,Alabama"
8,01017,Chambers County,AL,Alabama,"Chambers County,Alabama"
9,01019,Cherokee County,AL,Alabama,"Cherokee County,Alabama"
10,01021,Chilton County,AL,Alabama,"Chilton County,Alabama"
11,01023,Choctaw County,AL,Alabama,"Choctaw County,Alabama"
12,01025,Clarke County,AL,Alabama,"Clarke County,Alabama"
13,01027,Clay County,AL,Alabama,"Clay County,Alabama"
14,01029,Cleburne County,AL,Alabama,"Cleburne County,Alabama"
15,01031,Coffee County,AL,Alabama,"Coffee County,Alabama"
16,01033,Colbert County,AL,Alabama,"Colbert County,Alabama"
17,01035,Conecuh County,AL,Alabama,"Conecuh County,Alabama"
18,01037,Coosa County,AL,Alabama,"Coosa County,Alabama"
19,01039,Covington County,AL,Alabama,"Covington County,Alabama"
20,01041,Crenshaw County,AL,Alabama,"Crenshaw County,Alabama"
21,01043,Cullman County,AL,Alabama,"Cullman County,Alabama"
22,01045,Dale County,AL,Alabama,"Dale County,Alabama"
23,01047,Dallas County,AL,Alabama,"Dallas County,Alabama"
24,01049,DeKalb County,AL,Alabama,"DeKalb County,Alabama"
25,01051,Elmore County,AL,Alabama,"Elmore County,Alabama"
26,01053,Escambia County,AL,Alabama,"Escambia County,Alabama"
27,01055,Etowah County,AL,Alabama,"Etowah County,Alabama"
28,01057,Fayette County,AL,Alabama,"Fayette County,Alabama"
29,01059,Franklin County,AL,Alabama,"Franklin County,Alabama"
30,01061,Geneva County,AL,Alabama,"Geneva County,Alabama"
31,01063,Greene County,AL,Alabama,"Greene County,Alabama"
32,01065,Hale County,AL,Alabama,"Hale County,Alabama"
33,01067,Henry County,AL,Alabama,"Henry County,Alabama"
34,01069,Houston County,AL,Alabama,"Houston County,Alabama"
35,01071,Jackson County,AL,Alabama,"Jackson County,Alabama"
36,01073,Jefferson County,AL,Alabama,"Jefferson County,Alabama"
37,01075,Lamar County,AL,Alabama,"Lamar County,Alabama"
38,01077,Lauderdale County,AL,Alabama,"Lauderdale County,Alabama"
39,01079,Lawrence County,AL,Alabama,"Lawrence County,Alabama"
40,01081,Lee County,AL,Alabama,"Lee County,Alabama"
41,01083,Limestone County,AL,Alabama,"Limestone County,Alabama"
42,01085,Lowndes County,AL,Alabama,"Lowndes County,Alabama"
43,01087,Macon County,AL,Alabama,"Macon County,Alabama"
44,01089,Madison County,AL,Alabama,"Madison County,Alabama"
45,01091,Marengo County,AL,Alabama,"Marengo County,Alabama"
46,01093,Marion County,AL,Alabama,"Marion County,Alabama"
