,Unnamed: 0,fips,name,state_Ab,state,C_S,C_Sa
0,0,1001,Autauga County,AL,Alabama,"Autauga County,Alabama","Autauga County,AL"
1,1,1003,Baldwin County,AL,Alabama,"Baldwin County,Alabama","Baldwin County,AL"
2,2,1005,Barbour County,AL,Alabama,"Barbour County,Alabama","Barbour County,AL"
3,3,1007,Bibb County,AL,Alabama,"Bibb County,Alabama","Bibb County,AL"
4,4,1009,Blount County,AL,Alabama,"Blount County,Alabama","Blount County,AL"
5,5,1011,Bullock County,AL,Alabama,"Bullock County,Alabama","Bullock County,AL"
6,6,1013,Butler County,AL,Alabama,"Butler County,Alabama","Butler County,AL"
7,7,1015,Calhoun County,AL,Alabama,"Calhoun County,Alabama","Calhoun County,AL"
8,8,1017,Chambers County,AL,Alabama,"Chambers County,Alabama","Chambers County,AL"
9,9,1019,Cherokee County,AL,Alabama,"Cherokee County,Alabama","Cherokee County,AL"
10,10,1021,Chilton County,AL,Alabama,"Chilton County,Alabama","Chilton County,AL"
11,11,1023,Choctaw County,AL,Alabama,"Choctaw County,Alabama","Choctaw County,AL"
12,12,1025,Clarke County,AL,Alabama,"Clarke County,Alabama","Clarke County,AL"
13,13,1027,Clay County,AL,Alabama,"Clay County,Alabama","Clay County,AL"
14,14,1029,Cleburne County,AL,Alabama,"Cleburne County,Alabama","Cleburne County,AL"
15,15,1031,Coffee County,AL,Alabama,"Coffee County,Alabama","Coffee County,AL"
16,16,1033,Colbert County,AL,Alabama,"Colbert County,Alabama","Colbert County,AL"
17,17,1035,Conecuh County,AL,Alabama,"Conecuh County,Alabama","Conecuh County,AL"
18,18,1037,Coosa County,AL,Alabama,"Coosa County,Alabama","Coosa County,AL"
19,19,1039,Covington County,AL,Alabama,"Covington County,Alabama","Covington County,AL"
20,20,1041,Crenshaw County,AL,Alabama,"Crenshaw County,Alabama","Crenshaw County,AL"
21,21,1043,Cullman County,AL,Alabama,"Cullman County,Alabama","Cullman County,AL"
22,22,1045,Dale County,AL,Alabama,"Dale County,Alabama","Dale County,AL"
23,23,1047,Dallas County,AL,Alabama,"Dallas County,Alabama","Dallas County,AL"
24,24,1049,DeKalb County,AL,Alabama,"DeKalb County,Alabama","DeKalb County,AL"
25,25,1051,Elmore County,AL,Alabama,"Elmore County,Alabama","Elmore County,AL"
26,26,1053,Escambia County,AL,Alabama,"Escambia County,Alabama","Escambia County,AL"
27,27,1055,Etowah County,AL,Alabama,"Etowah County,Alabama","Etowah County,AL"
28,28,1057,Fayette County,AL,Alabama,"Fayette County,Alabama","Fayette County,AL"
29,29,1059,Franklin County,AL,Alabama,"Franklin County,Alabama","Franklin County,AL"
30,30,1061,Geneva County,AL,Alabama,"Geneva County,Alabama","Geneva County,AL"
31,31,1063,Greene County,AL,Alabama,"Greene County,Alabama","Greene County,AL"
32,32,1065,Hale County,AL,Alabama,"Hale County,Alabama","Hale County,AL"
33,33,1067,Henry County,AL,Alabama,"Henry County,Alabama","Henry County,AL"
34,34,1069,Houston County,AL,Alabama,"Houston County,Alabama","Houston County,AL"
35,35,1071,Jackson County,AL,Alabama,"Jackson County,Alabama","Jackson County,AL"
36,36,1073,Jefferson County,AL,Alabama,"Jefferson County,Alabama","Jefferson County,AL"
37,37,1075,Lamar County,AL,Alabama,"Lamar County,Alabama","Lamar County,AL"
38,38,1077,Lauderdale County,AL,Alabama,"Lauderdale County,Alabama","Lauderdale County,AL"
39,39,1079,Lawrence County,AL,Alabama,"Lawrence County,Alabama","Lawrence County,AL"
40,40,1081,Lee County,AL,Alabama,"Lee County,Alabama","Lee County,AL"
41,41,1083,Limestone County,AL,Alabama,"Limestone County,Alabama","Limestone County,AL"
42,42,1085,Lowndes County,AL,Alabama,"Lowndes County,Alabama","Lowndes County,AL"
43,43,1087,Macon County,AL,Alabama,"Macon County,Alabama","Macon County,AL"
44,44,1089,Madison County,AL,Alabama,"Madison County,Alabama","Madison County,AL"
45,45,1091,Marengo County,AL,Alabama,"Marengo County,Alabama","Marengo County,AL"
46,46,1093,Marion County,AL,Alabama,"Marion County,Alabama","Marion County,AL"
47,47,1095,Marshall County,AL,Alabama,"Marshall County,Alabama","Marshall County,AL"
48,48,1097,Mobile County,AL,Alabama,"Mobile County,Alabama","Mobile County,AL"
49,49,1099,Monroe County,AL,Alabama,"Monroe County,Alabama","Monroe County,AL"
50,50,1101,Montgomery County,AL,Alabama,"Montgomery County,Alabama","Montgomery County,AL"
