,YEAR,C_S,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
9,2017,"Autauga County,Alabama",55448,0.951913260815996,27041,28407,38.8,3286,6632,21519,14854,8370
10,2018,"Autauga County,Alabama",55533,0.9496208397696952,27049,28484,39.1,3353,6490,21389,14935,8567
11,2019,"Autauga County,Alabama",55769,0.9437802795301663,27078,28691,39.2,3251,6499,21487,14933,8783
23,2017,"Baldwin County,Alabama",212737,0.9443484777860035,103324,109413,43.1,11901,23483,73443,58737,42540
24,2018,"Baldwin County,Alabama",218071,0.9420513140200732,105782,112289,43.3,12006,23961,74645,60150,44551
25,2019,"Baldwin County,Alabama",223565,0.9411907718222786,108396,115169,43.6,12068,24301,76205,61216,46874
37,2017,"Barbour County,Alabama",25169,1.1077799179298216,13228,11941,40.9,1325,2706,9486,6585,4768
38,2018,"Barbour County,Alabama",24887,1.1216538789428816,13157,11730,41,1307,2681,9335,6444,4847
39,2019,"Barbour County,Alabama",24657,1.1206674120581406,13030,11627,41,1311,2588,9252,6318,4893
51,2017,"Bibb County,Alabama",22532,1.1489747257987601,12047,10485,39.7,1328,2232,8999,6088,3623
52,2018,"Bibb County,Alabama",22300,1.140937019969278,11884,10416,39.9,1294,2203,8848,6020,3651
53,2019,"Bibb County,Alabama",22313,1.138284619070436,11878,10435,40,1256,2212,8854,6043,3704
65,2017,"Blount County,Alabama",57801,0.9744150298889838,28526,29275,40.7,3466,6814,20903,15491,10357
66,2018,"Blount County,Alabama",57770,0.9751777899343544,28522,29248,40.9,3463,6747,20797,15393,10588
67,2019,"Blount County,Alabama",57840,0.9750051219012498,28554,29286,41,3466,6709,20716,15336,10824
79,2017,"Bullock County,Alabama",10181,1.1838266838266838,5519,4662,39.5,609,1076,3996,2775,1616
80,2018,"Bullock County,Alabama",10165,1.1916774471755067,5527,4638,39.3,597,1106,4015,2705,1646
81,2019,"Bullock County,Alabama",10144,1.2066565151185555,5547,4597,39.5,566,1114,4024,2624,1700
93,2017,"Butler County,Alabama",19911,0.8768027146762183,9302,10609,41.1,1174,2316,7076,5204,3899
94,2018,"Butler County,Alabama",19675,0.8730959634424981,9171,10504,41.7,1121,2290,6914,5116,3985
95,2019,"Butler County,Alabama",19501,0.870599520383693,9076,10425,42.1,1095,2219,6833,5046,4061
107,2017,"Calhoun County,Alabama",114746,0.9273057090548734,55209,59537,39.8,6567,12490,43833,30565,19894
108,2018,"Calhoun County,Alabama",114298,0.9282014946775309,55021,59277,39.9,6612,12277,43605,30222,20153
109,2019,"Calhoun County,Alabama",114070,0.9251670829676636,54818,59252,40,6572,12156,43672,29712,20562
121,2017,"Chambers County,Alabama",33716,0.9191712204007286,16148,17568,42.5,2000,3496,11935,9458,6421
122,2018,"Chambers County,Alabama",33570,0.9190533356199623,16077,17493,42.7,1912,3491,11864,9393,6532
123,2019,"Chambers County,Alabama",33244,0.9178493134879427,15910,17334,43,1872,3524,11585,9204,6683
135,2017,"Cherokee County,Alabama",25822,0.9876837810792087,12831,12991,46.5,1212,2546,8324,7572,5894
136,2018,"Cherokee County,Alabama",26035,0.9810531121594886,12893,13142,47,1215,2511,8304,7670,6017
137,2019,"Cherokee County,Alabama",26254,0.9774045341568125,12977,13277,47.5,1226,2525,8271,7721,6216
149,2017,"Chilton County,Alabama",44085,0.9679925003348064,21684,22401,39.4,2776,5373,16368,11751,7182
150,2018,"Chilton County,Alabama",44084,0.9634776411900944,21632,22452,39.6,2746,5305,16354,11716,7364
151,2019,"Chilton County,Alabama",44313,0.962315118235763,21731,22582,39.8,2699,5414,16353,11689,7575
163,2017,"Choctaw County,Alabama",12923,0.8993239271017048,6119,6804,46.2,693,1255,4161,3704,2955
164,2018,"Choctaw County,Alabama",12810,0.8963730569948186,6055,6755,46.4,681,1246,4114,3678,2942
165,2019,"Choctaw County,Alabama",12577,0.8932711124491947,5934,6643,46.7,663,1188,4030,3578,2957
177,2017,"Clarke County,Alabama",24083,0.8918303220738413,11353,12730,42.5,1354,2555,8497,6673,4671
178,2018,"Clarke County,Alabama",23965,0.8967154728927582,11330,12635,42.7,1406,2500,8422,6560,4781
179,2019,"Clarke County,Alabama",23651,0.8978494623655914,11189,12462,42.9,1367,2425,8273,6437,4846
191,2017,"Clay County,Alabama",13355,0.9613746511969452,6546,6809,44.2,689,1375,4597,3798,2735
192,2018,"Clay County,Alabama",13301,0.9531571218795888,6491,6810,44.5,713,1363,4513,3787,2780
193,2019,"Clay County,Alabama",13265,0.9521707137601177,6470,6795,44.6,721,1401,4440,3767,2809
205,2017,"Cleburne County,Alabama",14924,0.977998674618953,7379,7545,42.5,856,1764,5149,4120,2841
206,2018,"Cleburne County,Alabama",15047,0.9759684832567301,7432,7615,42.5,922,1711,5173,4114,2913
207,2019,"Cleburne County,Alabama",14952,0.9660749506903353,7347,7605,42.8,894,1700,5075,4072,3015
219,2017,"Coffee County,Alabama",51943,0.9662717189688458,25526,26417,39.2,3307,6124,19674,13468,8651
220,2018,"Coffee County,Alabama",52097,0.9664439663307288,25604,26493,39.4,3197,6284,19619,13455,8871
221,2019,"Coffee County,Alabama",52639,0.9727541880598134,25956,26683,39.4,3187,6356,19766,13447,9137
233,2017,"Colbert County,Alabama",54682,0.9239321652241221,26260,28422,42.4,3133,5756,19468,15040,10662
234,2018,"Colbert County,Alabama",54970,0.9194105939453193,26331,28639,42.4,3132,5810,19556,14966,10895
235,2019,"Colbert County,Alabama",55241,0.9161608102951889,26412,28829,42.4,3143,5881,19635,14836,11116
247,2017,"Conecuh County,Alabama",12431,0.9201421068890948,5957,6474,44.9,713,1282,4091,3462,2735
248,2018,"Conecuh County,Alabama",12264,0.9171486634359857,5867,6397,45.1,669,1297,4016,3376,2764
249,2019,"Conecuh County,Alabama",12055,0.9086447118429386,5739,6316,45.5,646,1289,3903,3269,2829
261,2017,"Coosa County,Alabama",10724,1.0003730647267302,5363,5361,48.6,463,863,3356,3496,2439
262,2018,"Coosa County,Alabama",10619,1.0016965127238455,5314,5305,49.1,489,861,3237,3454,2485
263,2019,"Coosa County,Alabama",10677,1.0092209258562288,5363,5314,49.4,461,868,3225,3437,2571
275,2017,"Covington County,Alabama",37077,0.9325028666736161,17891,19186,43.6,2228,4038,12389,10226,7732
276,2018,"Covington County,Alabama",36993,0.9391413744299418,17916,19077,43.7,2198,4041,12319,10112,7848
277,2019,"Covington County,Alabama",37082,0.9363968668407311,17932,19150,43.5,2195,4074,12371,9990,7965
289,2017,"Crenshaw County,Alabama",13871,0.9356684342729557,6705,7166,41.8,788,1631,4873,3795,2609
290,2018,"Crenshaw County,Alabama",13855,0.9350558659217877,6695,7160,41.9,792,1599,4839,3777,2651
291,2019,"Crenshaw County,Alabama",13811,0.9474055273547659,6719,7092,42.1,789,1601,4795,3768,2686
303,2017,"Cullman County,Alabama",82830,0.9766609392898052,40926,41904,40.9,5065,9230,30196,22082,15185
304,2018,"Cullman County,Alabama",83300,0.9779645723512371,41186,42114,40.9,5117,9285,30394,22045,15417
305,2019,"Cullman County,Alabama",83644,0.9772592960310144,41341,42303,41,5103,9347,30426,21972,15738
317,2017,"Dale County,Alabama",49467,0.9734700390967845,24401,25066,37.8,3301,5596,19286,12557,8094
318,2018,"Dale County,Alabama",49268,0.965923147520051,24207,25061,37.9,3340,5550,19116,12360,8309
319,2019,"Dale County,Alabama",49294,0.9683743960388133,24251,25043,38.1,3291,5582,19025,12240,8564
331,2017,"Dallas County,Alabama",39263,0.8570212363429976,18120,21143,39.4,2415,4860,14156,10488,6810
332,2018,"Dallas County,Alabama",38270,0.8587595317888193,17681,20589,40,2341,4615,13707,10195,6883
333,2019,"Dallas County,Alabama",37182,0.8588211768234765,17179,20003,40.6,2202,4467,13163,9855,7004
345,2017,"DeKalb County,Alabama",71441,0.9861273283291632,35471,35970,39.5,4346,8995,26253,18723,12114
346,2018,"DeKalb County,Alabama",71430,0.9839462281968671,35426,36004,39.8,4326,8875,26095,18785,12292
347,2019,"DeKalb County,Alabama",71506,0.9867192709490998,35514,35992,40,4277,8780,26147,18704,12546
359,2017,"Elmore County,Alabama",81452,0.9395642338373615,39457,41995,38.7,4796,9128,32458,21992,12047
360,2018,"Elmore County,Alabama",81189,0.932335300837776,39173,42016,39,4785,9152,31881,21896,12445
361,2019,"Elmore County,Alabama",81575,0.9340192987031462,39396,42179,39.3,4719,9135,31861,21810,12940
373,2017,"Escambia County,Alabama",37010,1.025947011167068,18742,18268,40,2215,4210,13945,9684,6499
