,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
9,2017,"Autauga County,Alabama",42606,10816,254,693,59,1020,53908,1540
10,2018,"Autauga County,Alabama",42641,10883,263,671,61,1014,53929,1604
11,2019,"Autauga County,Alabama",42490,11252,266,668,58,1035,54116,1653
23,2017,"Baldwin County,Alabama",185705,19229,1619,2272,141,3771,203172,9565
24,2018,"Baldwin County,Alabama",190538,19436,1636,2348,142,3971,208082,9989
25,2019,"Baldwin County,Alabama",195303,19625,1724,2436,155,4322,213197,10368
37,2017,"Barbour County,Alabama",12432,12119,160,118,44,296,24051,1118
38,2018,"Barbour County,Alabama",12169,12079,161,111,46,321,23814,1073
39,2019,"Barbour County,Alabama",12061,11937,168,115,52,324,23561,1096
51,2017,"Bibb County,Alabama",17272,4849,95,45,27,244,21949,583
52,2018,"Bibb County,Alabama",17135,4735,98,47,27,258,21711,589
53,2019,"Bibb County,Alabama",17086,4758,102,52,27,288,21694,619
65,2017,"Blount County,Alabama",55470,931,357,177,65,801,52492,5309
66,2018,"Blount County,Alabama",55401,923,376,194,67,809,52399,5371
67,2019,"Blount County,Alabama",55408,979,366,200,68,819,52372,5468
79,2017,"Bullock County,Alabama",2662,7214,84,21,74,126,9388,793
80,2018,"Bullock County,Alabama",2683,7179,82,21,74,126,9339,826
81,2019,"Bullock County,Alabama",2693,7136,84,24,73,134,9296,848
93,2017,"Butler County,Alabama",10422,8926,74,279,10,200,19631,280
94,2018,"Butler County,Alabama",10268,8837,73,281,10,206,19389,286
95,2019,"Butler County,Alabama",10168,8755,75,289,8,206,19205,296
107,2017,"Calhoun County,Alabama",86422,24286,580,1094,122,2242,110507,4239
108,2018,"Calhoun County,Alabama",85801,24383,594,1072,114,2334,109891,4407
109,2019,"Calhoun County,Alabama",85299,24637,596,1018,122,2398,109571,4499
121,2017,"Chambers County,Alabama",19284,13457,94,423,15,443,32898,818
122,2018,"Chambers County,Alabama",19128,13482,100,420,15,425,32712,858
123,2019,"Chambers County,Alabama",18932,13401,105,364,16,426,32365,879
135,2017,"Cherokee County,Alabama",24055,1081,163,92,8,423,25418,404
136,2018,"Cherokee County,Alabama",24203,1115,175,101,8,433,25604,431
137,2019,"Cherokee County,Alabama",24441,1085,182,115,8,423,25798,456
149,2017,"Chilton County,Alabama",38401,4593,221,213,75,582,40724,3361
150,2018,"Chilton County,Alabama",38402,4557,232,215,75,603,40677,3407
151,2019,"Chilton County,Alabama",38556,4608,239,207,76,627,40821,3492
163,2017,"Choctaw County,Alabama",7387,5409,24,21,0,82,12802,121
164,2018,"Choctaw County,Alabama",7332,5338,24,24,0,92,12676,134
165,2019,"Choctaw County,Alabama",7205,5235,24,24,0,89,12446,131
177,2017,"Clarke County,Alabama",12948,10695,118,104,5,213,23762,321
178,2018,"Clarke County,Alabama",12827,10664,124,111,5,234,23644,321
179,2019,"Clarke County,Alabama",12544,10632,129,106,5,235,23333,318
191,2017,"Clay County,Alabama",11145,1868,76,34,0,232,12945,410
192,2018,"Clay County,Alabama",11088,1861,71,32,0,249,12906,395
193,2019,"Clay County,Alabama",11049,1832,72,38,0,274,12836,429
205,2017,"Cleburne County,Alabama",14164,465,68,30,11,186,14569,355
206,2018,"Cleburne County,Alabama",14292,439,75,30,11,200,14665,382
207,2019,"Cleburne County,Alabama",14214,427,79,30,11,191,14560,392
219,2017,"Coffee County,Alabama",39448,9207,723,832,209,1524,48171,3772
220,2018,"Coffee County,Alabama",39441,9231,729,896,201,1599,48065,4032
221,2019,"Coffee County,Alabama",39834,9291,731,895,212,1676,48391,4248
233,2017,"Colbert County,Alabama",44057,8855,336,347,34,1053,53198,1484
234,2018,"Colbert County,Alabama",44295,8855,346,354,41,1079,53381,1589
235,2019,"Colbert County,Alabama",44415,8944,367,377,38,1100,53537,1704
247,2017,"Conecuh County,Alabama",6353,5813,60,29,5,171,12186,245
248,2018,"Conecuh County,Alabama",6337,5660,66,29,5,167,11992,272
249,2019,"Conecuh County,Alabama",6242,5546,67,31,4,165,11766,289
261,2017,"Coosa County,Alabama",7169,3311,64,16,18,146,10472,252
262,2018,"Coosa County,Alabama",7089,3283,65,15,18,149,10350,269
263,2019,"Coosa County,Alabama",7119,3301,66,18,18,155,10397,280
275,2017,"Covington County,Alabama",31433,4633,244,182,4,581,36461,616
276,2018,"Covington County,Alabama",31292,4656,255,170,4,616,36336,657
277,2019,"Covington County,Alabama",31308,4689,271,186,4,624,36392,690
289,2017,"Crenshaw County,Alabama",10104,3269,81,160,4,253,13580,291
290,2018,"Crenshaw County,Alabama",10086,3249,87,165,6,262,13544,311
291,2019,"Crenshaw County,Alabama",9944,3316,90,167,6,288,13485,326
303,2017,"Cullman County,Alabama",79601,1082,499,503,84,1061,79259,3571
304,2018,"Cullman County,Alabama",79956,1095,524,524,80,1121,79631,3669
305,2019,"Cullman County,Alabama",80208,1145,529,534,73,1155,79912,3732
317,2017,"Dale County,Alabama",36559,10275,424,697,104,1408,46240,3227
318,2018,"Dale County,Alabama",36371,10272,399,692,104,1430,45970,3298
319,2019,"Dale County,Alabama",36324,10318,431,713,89,1419,45919,3375
331,2017,"Dallas County,Alabama",10884,27668,110,244,17,340,38859,404
332,2018,"Dallas County,Alabama",10576,26966,109,249,17,353,37868,402
333,2019,"Dallas County,Alabama",10232,26260,114,199,17,360,36774,408
345,2017,"DeKalb County,Alabama",66378,1298,1400,359,435,1571,61084,10357
346,2018,"DeKalb County,Alabama",66311,1295,1413,370,443,1598,60876,10554
347,2019,"DeKalb County,Alabama",66290,1344,1435,361,441,1635,60770,10736
359,2017,"Elmore County,Alabama",61766,17175,416,605,97,1393,79052,2400
360,2018,"Elmore County,Alabama",61600,17051,410,604,96,1428,78739,2450
361,2019,"Elmore County,Alabama",61773,17191,408,635,94,1474,79047,2528
373,2017,"Escambia County,Alabama",23050,11741,1341,97,24,757,36159,851
374,2018,"Escambia County,Alabama",22683,11567,1379,109,22,755,35628,887
375,2019,"Escambia County,Alabama",22756,11493,1388,117,28,787,35623,946
387,2017,"Etowah County,Alabama",83331,16199,637,900,323,1686,99042,4034
388,2018,"Etowah County,Alabama",82947,16192,659,902,322,1744,98545,4221
389,2019,"Etowah County,Alabama",82579,16174,676,892,326,1813,98132,4328
401,2017,"Fayette County,Alabama",14177,1925,75,77,1,223,16187,291
402,2018,"Fayette County,Alabama",14091,1964,75,80,1,240,16152,299
403,2019,"Fayette County,Alabama",13937,1918,81,81,1,261,15950,329
415,2017,"Franklin County,Alabama",29028,1468,483,112,71,508,26225,5445
416,2018,"Franklin County,Alabama",28848,1429,501,117,70,530,25885,5610
417,2019,"Franklin County,Alabama",28951,1395,520,119,69,533,25867,5720
429,2017,"Geneva County,Alabama",23061,2477,259,93,22,492,25359,1045
430,2018,"Geneva County,Alabama",22919,2476,273,95,20,513,25226,1070
431,2019,"Geneva County,Alabama",22895,2449,298,96,20,551,25217,1092
443,2017,"Greene County,Alabama",1532,6665,29,22,0,64,8186,126
444,2018,"Greene County,Alabama",1481,6619,30,20,0,62,8084,128
