,fips,date,cases
2020,01001,3,43
2020,01001,4,731
2020,01001,5,3660
2020,01001,6,11110
2020,01001,7,24241
2020,01001,8,38807
2020,01001,9,48577
2020,01001,10,60844
2020,01001,11,73997
2020,01001,12,108652
2020,01003,3,95
2020,01003,4,2877
2020,01003,5,7493
2020,01003,6,12318
2020,01003,7,54475
2020,01003,8,120283
2020,01003,9,150651
2020,01003,10,197611
2020,01003,11,233249
2020,01003,12,348455
2020,01005,4,506
2020,01005,5,2651
2020,01005,6,7330
2020,01005,7,14161
2020,01005,8,20859
2020,01005,9,24539
2020,01005,10,30228
2020,01005,11,33813
2020,01005,12,40753
2020,01007,3,5
2020,01007,4,657
2020,01007,5,1629
2020,01007,6,3433
2020,01007,7,7961
2020,01007,8,14745
2020,01007,9,18402
2020,01007,10,23833
2020,01007,11,30545
2020,01007,12,47009
2020,01009,3,29
2020,01009,4,590
2020,01009,5,1463
2020,01009,6,3652
2020,01009,7,13625
2020,01009,8,31781
2020,01009,9,44569
2020,01009,10,56017
2020,01009,11,76472
2020,01009,12,121270
2020,01011,3,16
2020,01011,4,220
2020,01011,5,2192
2020,01011,6,8735
2020,01011,7,12233
2020,01011,8,15597
2020,01011,9,17483
2020,01011,10,19575
2020,01011,11,20298
2020,01011,12,23348
2020,01013,3,7
2020,01013,4,440
2020,01013,5,7962
2020,01013,6,15721
2020,01013,7,20957
2020,01013,8,24956
2020,01013,9,27004
2020,01013,10,30243
2020,01013,11,32801
2020,01013,12,41741
2020,01015,3,40
2020,01015,4,1874
2020,01015,5,4036
2020,01015,6,6206
2020,01015,7,22671
2020,01015,8,63808
2020,01015,9,94482
2020,01015,10,127090
2020,01015,11,168264
2020,01015,12,252416
2020,01017,3,166
2020,01017,4,6111
2020,01017,5,10059
2020,01017,6,14139
2020,01017,7,22690
2020,01017,8,29072
2020,01017,9,33221
2020,01017,10,39681
2020,01017,11,47667
2020,01017,12,64015
2020,01019,3,10
2020,01019,4,294
2020,01019,5,817
2020,01019,6,1583
2020,01019,7,4817
2020,01019,8,10331
2020,01019,9,15668
2020,01019,10,21661
2020,01019,11,27431
2020,01019,12,38180
2020,01021,3,48
2020,01021,4,1045
2020,01021,5,2360
2020,01021,6,4480
2020,01021,7,13256
2020,01021,8,28741
2020,01021,9,42593
2020,01021,10,55047
2020,01021,11,62718
2020,01021,12,80899
2020,01023,3,9
2020,01023,4,482
2020,01023,5,2977
2020,01023,6,5203
2020,01023,7,7103
2020,01023,8,9375
2020,01023,9,10220
2020,01023,10,11787
2020,01023,11,12318
2020,01023,12,14311
2020,01025,4,560
2020,01025,5,2467
2020,01025,6,5886
2020,01025,7,11217
2020,01025,8,25115
2020,01025,9,31456
2020,01025,10,38938
2020,01025,11,44978
2020,01025,12,62564
2020,01027,3,11
2020,01027,4,431
2020,01027,5,805
2020,01027,6,962
2020,01027,7,3472
2020,01027,8,9228
2020,01027,9,14907
2020,01027,10,21202
2020,01027,11,25529
2020,01027,12,31941
2020,01029,3,24
2020,01029,4,330
2020,01029,5,403
2020,01029,6,624
2020,01029,7,2038
2020,01029,8,4804
2020,01029,9,9065
2020,01029,10,15557
2020,01029,11,20435
2020,01029,12,28176
2020,01031,4,1437
2020,01031,5,5316
2020,01031,6,8734
2020,01031,7,15793
2020,01031,8,27546
2020,01031,9,37069
2020,01031,10,50266
2020,01031,11,65012
2020,01031,12,94017
2020,01033,3,14
2020,01033,4,419
2020,01033,5,2975
2020,01033,6,8138
2020,01033,7,20558
2020,01033,8,39901
2020,01033,9,47174
2020,01033,10,58588
2020,01033,11,81960
2020,01033,12,122851
2020,01035,4,180
2020,01035,5,624
2020,01035,6,3112
2020,01035,7,8433
2020,01035,8,13475
2020,01035,9,15445
2020,01035,10,17131
2020,01035,11,19194
2020,01035,12,24333
2020,01037,3,17
2020,01037,4,551
2020,01037,5,1025
2020,01037,6,1392
2020,01037,7,2234
2020,01037,8,3727
2020,01037,9,4658
2020,01037,10,6020
2020,01037,11,8311
2020,01037,12,13637
2020,01039,3,10
2020,01039,4,553
2020,01039,5,1809
2020,01039,6,5343
2020,01039,7,16417
2020,01039,8,29258
2020,01039,9,38123
2020,01039,10,50269
2020,01039,11,61248
2020,01039,12,80406
2020,01041,3,6
2020,01041,4,175
2020,01041,5,1494
2020,01041,6,3216
2020,01041,7,5415
2020,01041,8,11877
2020,01041,9,15288
2020,01041,10,17983
2020,01041,11,20208
2020,01041,12,25335
2020,01043,3,57
2020,01043,4,1091
2020,01043,5,2304
2020,01043,6,8148
2020,01043,7,22885
2020,01043,8,43350
2020,01043,9,53810
2020,01043,10,69289
2020,01043,11,110602
2020,01043,12,183276
2020,01045,4,408
2020,01045,5,1948
2020,01045,6,5358
2020,01045,7,15002
2020,01045,8,28664
2020,01045,9,38061
2020,01045,10,50368
2020,01045,11,64732
2020,01045,12,88511
2020,01047,3,14
2020,01047,4,596
2020,01047,5,4604
2020,01047,6,15471
2020,01047,7,33659
2020,01047,8,45855
2020,01047,9,51747
2020,01047,10,57178
2020,01047,11,62695
2020,01047,12,78701
2020,01049,3,21
2020,01049,4,1123
2020,01049,5,5469
2020,01049,6,11051
2020,01049,7,35547
2020,01049,8,60547
2020,01049,9,69213
2020,01049,10,94569
2020,01049,11,127997
2020,01049,12,186979
2020,01051,3,129
2020,01051,4,1485
2020,01051,5,6190
2020,01051,6,17284
2020,01051,7,37327
2020,01051,8,59217
2020,01051,9,74223
2020,01051,10,94319
2020,01051,11,110803
2020,01051,12,162083
2020,01053,3,5
2020,01053,4,381
2020,01053,5,1232
2020,01053,6,3917
2020,01053,7,18880
2020,01053,8,38541
2020,01053,9,45942
2020,01053,10,52638
2020,01053,11,56568
2020,01053,12,72035
2020,01055,3,38
2020,01055,4,2462
2020,01055,5,6220
2020,01055,6,11198
2020,01055,7,37925
2020,01055,8,73922
2020,01055,9,97097
2020,01055,10,123586
2020,01055,11,162360
2020,01055,12,260127
2020,01057,3,2
2020,01057,4,97
2020,01057,5,290
2020,01057,6,1317
2020,01057,7,3412
2020,01057,8,7834
2020,01057,9,11992
2020,01057,10,16564
2020,01057,11,22625
2020,01057,12,37698
2020,01059,3,22
2020,01059,4,571
2020,01059,5,10059
2020,01059,6,21504
2020,01059,7,30893
2020,01059,8,42560
2020,01059,9,50909
2020,01059,10,60634
2020,01059,11,70483
2020,01059,12,90590
2020,01061,4,91
2020,01061,5,704
2020,01061,6,1486
2020,01061,7,4057
2020,01061,8,10049
2020,01061,9,16096
2020,01061,10,25514
2020,01061,11,33086
2020,01061,12,44898
2020,01063,3,13
2020,01063,4,747
2020,01063,5,2428
2020,01063,6,3896
2020,01063,7,6485
2020,01063,8,8197
2020,01063,9,8893
2020,01063,10,10209
2020,01063,11,11476
2020,01063,12,17183
2020,01065,3,2
2020,01065,4,645
2020,01065,5,2958
2020,01065,6,7142
2020,01065,7,11727
