,Unnamed: 0,fips,date,cases,fip-year-month,fip-year
0,2020,1001,3,43,1001-2020-3,1001-2020
1,2020,1001,4,731,1001-2020-4,1001-2020
2,2020,1001,5,3660,1001-2020-5,1001-2020
3,2020,1001,6,11110,1001-2020-6,1001-2020
4,2020,1001,7,24241,1001-2020-7,1001-2020
5,2020,1001,8,38807,1001-2020-8,1001-2020
6,2020,1001,9,48577,1001-2020-9,1001-2020
7,2020,1001,10,60844,1001-2020-10,1001-2020
8,2020,1001,11,73997,1001-2020-11,1001-2020
9,2020,1001,12,108652,1001-2020-12,1001-2020
10,2020,1003,3,95,1003-2020-3,1003-2020
11,2020,1003,4,2877,1003-2020-4,1003-2020
12,2020,1003,5,7493,1003-2020-5,1003-2020
13,2020,1003,6,12318,1003-2020-6,1003-2020
14,2020,1003,7,54475,1003-2020-7,1003-2020
15,2020,1003,8,120283,1003-2020-8,1003-2020
16,2020,1003,9,150651,1003-2020-9,1003-2020
17,2020,1003,10,197611,1003-2020-10,1003-2020
18,2020,1003,11,233249,1003-2020-11,1003-2020
19,2020,1003,12,348455,1003-2020-12,1003-2020
20,2020,1005,4,506,1005-2020-4,1005-2020
21,2020,1005,5,2651,1005-2020-5,1005-2020
22,2020,1005,6,7330,1005-2020-6,1005-2020
23,2020,1005,7,14161,1005-2020-7,1005-2020
24,2020,1005,8,20859,1005-2020-8,1005-2020
25,2020,1005,9,24539,1005-2020-9,1005-2020
26,2020,1005,10,30228,1005-2020-10,1005-2020
27,2020,1005,11,33813,1005-2020-11,1005-2020
28,2020,1005,12,40753,1005-2020-12,1005-2020
29,2020,1007,3,5,1007-2020-3,1007-2020
30,2020,1007,4,657,1007-2020-4,1007-2020
31,2020,1007,5,1629,1007-2020-5,1007-2020
32,2020,1007,6,3433,1007-2020-6,1007-2020
33,2020,1007,7,7961,1007-2020-7,1007-2020
34,2020,1007,8,14745,1007-2020-8,1007-2020
35,2020,1007,9,18402,1007-2020-9,1007-2020
36,2020,1007,10,23833,1007-2020-10,1007-2020
37,2020,1007,11,30545,1007-2020-11,1007-2020
38,2020,1007,12,47009,1007-2020-12,1007-2020
39,2020,1009,3,29,1009-2020-3,1009-2020
40,2020,1009,4,590,1009-2020-4,1009-2020
41,2020,1009,5,1463,1009-2020-5,1009-2020
42,2020,1009,6,3652,1009-2020-6,1009-2020
43,2020,1009,7,13625,1009-2020-7,1009-2020
