,FIPS,State,County_Name,Population_2010,RUCC_2013,Description
0,01001,AL,Autauga County,"54,571",2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
1,01003,AL,Baldwin County,"182,265",3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
2,01005,AL,Barbour County,"27,457",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
3,01007,AL,Bibb County,"22,915",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
4,01009,AL,Blount County,"57,322",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
5,01011,AL,Bullock County,"10,914",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
6,01013,AL,Butler County,"20,947",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
7,01015,AL,Calhoun County,"118,572",3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
8,01017,AL,Chambers County,"34,215",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
9,01019,AL,Cherokee County,"25,989",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
10,01021,AL,Chilton County,"43,643",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
11,01023,AL,Choctaw County,"13,859",9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
12,01025,AL,Clarke County,"25,833",7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
13,01027,AL,Clay County,"13,932",9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
14,01029,AL,Cleburne County,"14,972",8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
15,01031,AL,Coffee County,"49,948",4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
16,01033,AL,Colbert County,"54,428",3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
17,01035,AL,Conecuh County,"13,228",7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
18,01037,AL,Coosa County,"11,539",8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
19,01039,AL,Covington County,"37,765",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
20,01041,AL,Crenshaw County,"13,906",8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
21,01043,AL,Cullman County,"80,406",4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
22,01045,AL,Dale County,"50,251",4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
23,01047,AL,Dallas County,"43,820",4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
24,01049,AL,DeKalb County,"71,109",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
25,01051,AL,Elmore County,"79,303",2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
26,01053,AL,Escambia County,"38,319",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
27,01055,AL,Etowah County,"104,430",3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
28,01057,AL,Fayette County,"17,241",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29,01059,AL,Franklin County,"31,704",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
30,01061,AL,Geneva County,"26,790",3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
31,01063,AL,Greene County,"9,045",8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
32,01065,AL,Hale County,"15,760",3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
33,01067,AL,Henry County,"17,302",3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
34,01069,AL,Houston County,"101,547",3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
35,01071,AL,Jackson County,"53,227",6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
