"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)",
"0500000US01001","Autauga County, Alabama","29372","null","2306","null",
"0500000US01003","Baldwin County, Alabama","31203","null","716","null",
"0500000US01005","Barbour County, Alabama","18461","null","819","null",
"0500000US01007","Bibb County, Alabama","20199","null","1182","null",
"0500000US01009","Blount County, Alabama","22656","null","905","null",
"0500000US01011","Bullock County, Alabama","20346","null","2683","null",
"0500000US01013","Butler County, Alabama","20430","null","1258","null",
"0500000US01015","Calhoun County, Alabama","24706","null","758","null",
"0500000US01017","Chambers County, Alabama","22827","null","1482","null",
"0500000US01019","Cherokee County, Alabama","23356","null","1325","null",
"0500000US01021","Chilton County, Alabama","24611","null","1808","null",
"0500000US01023","Choctaw County, Alabama","22182","null","1273","null",
"0500000US01025","Clarke County, Alabama","21111","null","1200","null",
"0500000US01027","Clay County, Alabama","23147","null","1746","null",
"0500000US01029","Cleburne County, Alabama","21989","null","1661","null",
"0500000US01031","Coffee County, Alabama","27577","null","976","null",
"0500000US01033","Colbert County, Alabama","24918","null","1055","null",
"0500000US01035","Conecuh County, Alabama","17542","null","1355","null",
"0500000US01037","Coosa County, Alabama","22963","null","2342","null",
"0500000US01039","Covington County, Alabama","23071","null","854","null",
"0500000US01041","Crenshaw County, Alabama","23353","null","2819","null",
"0500000US01043","Cullman County, Alabama","22980","null","906","null",
"0500000US01045","Dale County, Alabama","23837","null","925","null",
"0500000US01047","Dallas County, Alabama","18910","null","714","null",
"0500000US01049","DeKalb County, Alabama","21004","null","799","null",
"0500000US01051","Elmore County, Alabama","27475","null","1129","null",
"0500000US01053","Escambia County, Alabama","18161","null","967","null",
"0500000US01055","Etowah County, Alabama","24065","null","763","null",
"0500000US01057","Fayette County, Alabama","21862","null","1708","null",
"0500000US01059","Franklin County, Alabama","19776","null","1018","null",
"0500000US01061","Geneva County, Alabama","20471","null","1037","null",
"0500000US01063","Greene County, Alabama","14209","null","1463","null",
"0500000US01065","Hale County, Alabama","20272","null","1350","null",
"0500000US01067","Henry County, Alabama","24069","null","1295","null",
"0500000US01069","Houston County, Alabama","25990","null","503","null",
"0500000US01071","Jackson County, Alabama","21608","null","861","null",
"0500000US01073","Jefferson County, Alabama","30657","null","420","null",
"0500000US01075","Lamar County, Alabama","21666","null","2040","null",
"0500000US01077","Lauderdale County, Alabama","27189","null","881","null",
"0500000US01079","Lawrence County, Alabama","23557","null","1123","null",
"0500000US01081","Lee County, Alabama","26960","null","898","null",
"0500000US01083","Limestone County, Alabama","27699","null","1019","null",
"0500000US01085","Lowndes County, Alabama","19491","null","1069","null",
"0500000US01087","Macon County, Alabama","20125","null","1149","null",
"0500000US01089","Madison County, Alabama","35526","null","579","null",
"0500000US01091","Marengo County, Alabama","23056","null","3536","null",
"0500000US01093","Marion County, Alabama","21391","null","1260","null",
"0500000US01095","Marshall County, Alabama","23833","null","843","null",
"0500000US01097","Mobile County, Alabama","25215","null","475","null",
"0500000US01099","Monroe County, Alabama","18890","null","1192","null",
"0500000US01101","Montgomery County, Alabama","28008","null","602","null",
"0500000US01103","Morgan County, Alabama","25907","null","855","null",
"0500000US01105","Perry County, Alabama","13678","null","1651","null",
"0500000US01107","Pickens County, Alabama","22417","null","1621","null",
"0500000US01109","Pike County, Alabama","21137","null","1910","null",
"0500000US01111","Randolph County, Alabama","23247","null","2079","null",
"0500000US01113","Russell County, Alabama","22055","null","983","null",
"0500000US01115","St. Clair County, Alabama","24861","null","842","null",
"0500000US01117","Shelby County, Alabama","36576","null","787","null",
"0500000US01119","Sumter County, Alabama","15882","null","1822","null",
"0500000US01121","Talladega County, Alabama","22498","null","885","null",
"0500000US01123","Tallapoosa County, Alabama","23655","null","944","null",
"0500000US01125","Tuscaloosa County, Alabama","26064","null","516","null",
"0500000US01127","Walker County, Alabama","22772","null","840","null",
"0500000US01129","Washington County, Alabama","22776","null","4213","null",
"0500000US01131","Wilcox County, Alabama","16584","null","1271","null",
"0500000US01133","Winston County, Alabama","21799","null","1324","null",
"0500000US02013","Aleutians East Borough, Alaska","32510","null","2080","null",
"0500000US02016","Aleutians West Census Area, Alaska","37070","null","1927","null",
"0500000US02020","Anchorage Municipality, Alaska","39839","null","705","null",
"0500000US02050","Bethel Census Area, Alaska","19760","null","868","null",
"0500000US02060","Bristol Bay Borough, Alaska","45259","null","5682","null",
"0500000US02068","Denali Borough, Alaska","34956","null","8844","null",
"0500000US02070","Dillingham Census Area, Alaska","25334","null","1788","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","36374","null","1097","null",
"0500000US02100","Haines Borough, Alaska","33521","null","4342","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","35355","null","4273","null",
"0500000US02110","Juneau City and Borough, Alaska","43276","null","3061","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","33820","null","1211","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","34900","null","1521","null",
"0500000US02150","Kodiak Island Borough, Alaska","32516","null","2332","null",
"0500000US02158","Kusilvak Census Area, Alaska","12578","null","1809","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","24571","null","2556","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","30943","null","675","null",
"0500000US02180","Nome Census Area, Alaska","22293","null","1256","null",
"0500000US02185","North Slope Borough, Alaska","49903","null","3269","null",
"0500000US02188","Northwest Arctic Borough, Alaska","23230","null","1451","null",
"0500000US02195","Petersburg Borough, Alaska","33227","null","1937","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","27236","null","1073","null",
"0500000US02220","Sitka City and Borough, Alaska","38423","null","2165","null",
"0500000US02230","Skagway Municipality, Alaska","39842","null","5408","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","32409","null","2306","null",
"0500000US02261","Valdez-Cordova Census Area, Alaska","38507","null","2830","null",
"0500000US02275","Wrangell City and Borough, Alaska","31489","null","2609","null",
"0500000US02282","Yakutat City and Borough, Alaska","31878","null","4039","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","22386","null","958","null",
