"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2021 inflation-adjusted dollars)",
"0500000US01001","Autauga County, Alabama","30968","1954","null","null",
"0500000US01003","Baldwin County, Alabama","35384","1078","null","null",
"0500000US01005","Barbour County, Alabama","21325","1465","null","null",
"0500000US01007","Bibb County, Alabama","24787","2421","null","null",
"0500000US01009","Blount County, Alabama","27309","1404","null","null",
"0500000US01011","Bullock County, Alabama","21012","2246","null","null",
"0500000US01013","Butler County, Alabama","23897","1621","null","null",
"0500000US01015","Calhoun County, Alabama","26440","907","null","null",
"0500000US01017","Chambers County, Alabama","24840","1520","null","null",
"0500000US01019","Cherokee County, Alabama","26867","1720","null","null",
"0500000US01021","Chilton County, Alabama","26426","1497","null","null",
"0500000US01023","Choctaw County, Alabama","25163","1693","null","null",
"0500000US01025","Clarke County, Alabama","25263","2925","null","null",
"0500000US01027","Clay County, Alabama","26255","2598","null","null",
"0500000US01029","Cleburne County, Alabama","27026","2891","null","null",
"0500000US01031","Coffee County, Alabama","29688","849","null","null",
"0500000US01033","Colbert County, Alabama","28090","1125","null","null",
"0500000US01035","Conecuh County, Alabama","22841","1665","null","null",
"0500000US01037","Coosa County, Alabama","26718","2740","null","null",
"0500000US01039","Covington County, Alabama","26138","1683","null","null",
"0500000US01041","Crenshaw County, Alabama","28097","4813","null","null",
"0500000US01043","Cullman County, Alabama","26508","803","null","null",
"0500000US01045","Dale County, Alabama","26469","1060","null","null",
"0500000US01047","Dallas County, Alabama","20748","948","null","null",
"0500000US01049","DeKalb County, Alabama","23947","1233","null","null",
"0500000US01051","Elmore County, Alabama","31185","1190","null","null",
"0500000US01053","Escambia County, Alabama","19581","1320","null","null",
"0500000US01055","Etowah County, Alabama","26026","895","null","null",
"0500000US01057","Fayette County, Alabama","24268","1987","null","null",
"0500000US01059","Franklin County, Alabama","22500","1246","null","null",
"0500000US01061","Geneva County, Alabama","23338","1145","null","null",
"0500000US01063","Greene County, Alabama","16282","1596","null","null",
"0500000US01065","Hale County, Alabama","20849","1384","null","null",
"0500000US01067","Henry County, Alabama","28304","2163","null","null",
"0500000US01069","Houston County, Alabama","29388","577","null","null",
"0500000US01071","Jackson County, Alabama","25153","1069","null","null",
"0500000US01073","Jefferson County, Alabama","34860","569","null","null",
"0500000US01075","Lamar County, Alabama","22678","1207","null","null",
"0500000US01077","Lauderdale County, Alabama","29667","1241","null","null",
"0500000US01079","Lawrence County, Alabama","26810","1562","null","null",
"0500000US01081","Lee County, Alabama","30680","1082","null","null",
"0500000US01083","Limestone County, Alabama","33428","1208","null","null",
"0500000US01085","Lowndes County, Alabama","21936","1674","null","null",
"0500000US01087","Macon County, Alabama","22542","1406","null","null",
"0500000US01089","Madison County, Alabama","40223","878","null","null",
"0500000US01091","Marengo County, Alabama","27823","6922","null","null",
"0500000US01093","Marion County, Alabama","23093","1686","null","null",
"0500000US01095","Marshall County, Alabama","27333","1062","null","null",
"0500000US01097","Mobile County, Alabama","27942","560","null","null",
"0500000US01099","Monroe County, Alabama","21648","1398","null","null",
"0500000US01101","Montgomery County, Alabama","30100","711","null","null",
"0500000US01103","Morgan County, Alabama","30412","1031","null","null",
"0500000US01105","Perry County, Alabama","15484","2241","null","null",
"0500000US01107","Pickens County, Alabama","23896","2088","null","null",
"0500000US01109","Pike County, Alabama","24960","2101","null","null",
"0500000US01111","Randolph County, Alabama","26926","2526","null","null",
