Year,FIPS,C_S,month,cases,Pcincome,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,WA,BA,IA,AA,NA,TOM,NH,H,Cost,RUCC
2017,1001,"Autauga County,Alabama",1,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,186712,2
2017,1001,"Autauga County,Alabama",2,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,186577,2
2017,1001,"Autauga County,Alabama",3,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,186397,2
2017,1001,"Autauga County,Alabama",4,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,186839,2
2017,1001,"Autauga County,Alabama",5,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,187155,2
2017,1001,"Autauga County,Alabama",6,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,187483,2
2017,1001,"Autauga County,Alabama",7,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,187850,2
2017,1001,"Autauga County,Alabama",8,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,188353,2
2017,1001,"Autauga County,Alabama",9,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,188854,2
2017,1001,"Autauga County,Alabama",10,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,189278,2
2017,1001,"Autauga County,Alabama",11,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,189809,2
2017,1001,"Autauga County,Alabama",12,0,27824,55448,0.9519132608,27041,28407,38.8,3286,6632,21519,14854,8370,42606,10816,254,693,59,1020,53908,1540,190408,2
2018,1001,"Autauga County,Alabama",1,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,191148,2
2018,1001,"Autauga County,Alabama",2,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,191941,2
2018,1001,"Autauga County,Alabama",3,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,192800,2
2018,1001,"Autauga County,Alabama",4,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,193615,2
2018,1001,"Autauga County,Alabama",5,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,194314,2
2018,1001,"Autauga County,Alabama",6,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,194856,2
2018,1001,"Autauga County,Alabama",7,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,195428,2
2018,1001,"Autauga County,Alabama",8,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,195954,2
2018,1001,"Autauga County,Alabama",9,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,196723,2
2018,1001,"Autauga County,Alabama",10,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,197521,2
2018,1001,"Autauga County,Alabama",11,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,198429,2
2018,1001,"Autauga County,Alabama",12,0,29372,55533,0.9496208398,27049,28484,39.1,3353,6490,21389,14935,8567,42641,10883,263,671,61,1014,53929,1604,199261,2
2019,1001,"Autauga County,Alabama",1,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,200156,2
2019,1001,"Autauga County,Alabama",2,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,200999,2
2019,1001,"Autauga County,Alabama",3,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,201698,2
2019,1001,"Autauga County,Alabama",4,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,202308,2
2019,1001,"Autauga County,Alabama",5,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,202854,2
2019,1001,"Autauga County,Alabama",6,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,203439,2
2019,1001,"Autauga County,Alabama",7,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,203906,2
2019,1001,"Autauga County,Alabama",8,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,204387,2
2019,1001,"Autauga County,Alabama",9,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,204749,2
2019,1001,"Autauga County,Alabama",10,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,205152,2
2019,1001,"Autauga County,Alabama",11,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,205927,2
2019,1001,"Autauga County,Alabama",12,0,29819,55769,0.9437802795,27078,28691,39.2,3251,6499,21487,14933,8783,42490,11252,266,668,58,1035,54116,1653,206885,2
2020,1001,"Autauga County,Alabama",1,0,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,207814,2
2020,1001,"Autauga County,Alabama",2,0,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,208412,2
2020,1001,"Autauga County,Alabama",3,43,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,208884,2
2020,1001,"Autauga County,Alabama",4,731,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,209394,2
2020,1001,"Autauga County,Alabama",5,3660,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,210039,2
2020,1001,"Autauga County,Alabama",6,11110,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,210767,2
2020,1001,"Autauga County,Alabama",7,24241,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,211439,2
2020,1001,"Autauga County,Alabama",8,38807,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,212035,2
2020,1001,"Autauga County,Alabama",9,48577,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,213489,2
2020,1001,"Autauga County,Alabama",10,60844,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,215050,2
2020,1001,"Autauga County,Alabama",11,73997,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,216072,2
2020,1001,"Autauga County,Alabama",12,108652,29804,58877,0.9532561457,28734,30143,39.2,3480,7042,22589,15672,9273,44580,12136,281,690,66,1124,57009,1868,216072,2
2021,1001,"Autauga County,Alabama",1,156700,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,216613,2
2021,1001,"Autauga County,Alabama",2,168069,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,216613,2
2021,1001,"Autauga County,Alabama",3,200009,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,214924,2
2021,1001,"Autauga County,Alabama",4,202648,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,213784,2
2021,1001,"Autauga County,Alabama",5,217425,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,213733,2
2021,1001,"Autauga County,Alabama",6,216615,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,216580,2
2021,1001,"Autauga County,Alabama",7,227894,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,219848,2
2021,1001,"Autauga County,Alabama",8,250534,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,225005,2
2021,1001,"Autauga County,Alabama",9,280619,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,226542,2
2021,1001,"Autauga County,Alabama",10,308064,30968,59095,0.9463474079,28733,30362,39.3,3388,7062,22714,15600,9484,44442,12425,271,711,70,1176,57129,1966,227569,2
